"id","complexity","req_quality","frustration","comm_volume","misunderstandings","escalated"
1,57.8088360937778,54.6559401421412,10.6308880332701,75.1715061424723,3,0
2,33.8046385647158,55.5652381845423,7.1295264527487,47.4825519136646,0,0
3,52.0885717252891,68.5269924129112,6.9476548876209,68.6034344567854,3,0
4,48.7287682257714,82.0894282113276,5.49183084668031,65.3617581217662,1,0
5,40.0004057707311,41.4147302979828,5.38331106706561,50.9477741955213,3,0
6,12.2586645198582,85.4453663523476,5.61224746611958,27.2340305890787,0,0
7,38.9727980381498,56.6106810716603,11.9608028212681,61.3624550245994,5,0
8,34.6981660529736,72.667351719318,6.24557249285834,43.2346160705494,2,0
9,51.7033166194596,38.6602869878235,8.4226525676836,70.2961183643401,3,1
10,42.8931352723986,57.3812944811378,11.392140001454,76.812572550574,1,0
11,43.8767794349311,50.0546740720375,9.64475050274261,70.2246602010003,4,0
12,39.0435008210958,56.4318176119512,10.7632244056302,55.6359223912108,2,0
13,46.6784510089074,47.8895750108759,9.79223651988153,69.3303316648962,5,0
14,46.6127521335657,62.3797958586965,9.0479360621864,63.2396897967083,2,0
15,11.7967783080756,83.033792403567,8.65091611422702,30.7361210594859,0,0
16,70.2050224894555,45.4898097725496,11.186437579157,96.1040244285188,4,1
17,59.2461221877495,51.9860100245158,9.69976503828683,82.0536114144597,8,0
18,53.2634650746183,45.2412983534109,7.88432350774525,76.9629469143104,3,0
19,37.9292175439961,71.6831047536976,7.84922886279697,58.2456180825691,1,0
20,60.3462016643873,59.4971183269253,6.82477247020243,69.0061604400919,4,0
21,45.0699197886464,43.582742508815,15.2213308624232,69.2558313094343,1,0
22,47.5297763461124,73.1753484699138,7.07610229273599,54.0944360798824,2,0
23,29.1195668034304,53.116100117677,6.63100633111087,50.9789405419659,1,0
24,71.9873714180209,39.2842846290291,14.3884762601506,105.654239142366,9,1
25,50.7231021233817,42.5284590085262,8.74657213984873,58.1221748133387,4,0
26,78.6212575196298,35.5481906604877,6.76803964922603,92.9816083675202,3,1
27,75.9641679085598,44.9327469850847,6.99578117661037,93.3544537893395,3,0
28,50.8721875588894,62.5229597858829,7.60137899040845,65.3816703363223,5,0
29,59.6799224266276,47.0021413921719,8.27967708924602,70.8738110537606,2,0
30,75.8844347975945,46.4505564445179,10.5724110958749,87.1580446470184,5,0
31,42.0654962381563,57.4633430814606,7.53101886507642,68.1759342762506,1,0
32,52.4958803841883,68.3357046175839,2.15730992128785,59.4656414721313,2,0
33,46.1791463785408,81.7246306267107,4.46885889234183,65.7614111195133,3,0
34,54.9917353915686,45.0643264679602,14.0101339185177,75.4475893010012,4,1
35,52.7364921924145,75.6042696182791,4.82078040255446,73.2051722098068,0,0
36,67.46890624277,72.7038599998192,4.80337579501778,81.3767050616702,3,0
37,58.902392760918,56.6987261638322,7.89468221445788,75.0521006704189,0,0
38,36.6233040617395,71.1513009566631,10.5944970898549,65.6123745440494,3,0
39,58.658799655361,37.0814929971084,8.37183441877263,73.8780347295827,2,1
40,37.6264162841294,66.51923370191,8.96936263291525,53.989205069882,1,0
41,32.6411921356484,58.1341060205457,6.48921260423786,49.2777293931419,3,0
42,61.6699816100932,51.7613648983829,7.96965793392893,77.054549377236,3,1
43,31.936673210404,69.3438300020867,5.79070035999571,46.070142008705,3,0
44,54.6007115322152,66.2230530797596,9.00556881634594,70.5938273673993,2,0
45,37.4951218903692,61.4149192905353,9.15188511459933,50.951130329303,1,0
46,71.2721174525562,76.4418320175632,8.51742770157611,92.3381660735418,1,0
47,60.6767917677608,59.6531803735339,10.505512485959,73.8135494074932,4,0
48,43.9625341570644,57.5893397027353,13.4933952677449,63.3342642520804,4,0
49,61.9904332807176,57.7189497317727,8.24986723731801,71.9874766404994,5,0
50,56.3972665333542,54.2583796924977,2.15093138791734,76.9114275835312,0,0
51,32.4515199509657,52.7079280972509,7.32171326652141,54.4607154569855,3,0
52,46.9069975956047,63.6150242273648,5.42634815886335,64.6633518965602,3,1
53,36.0408453613458,71.8781050347053,5.63473885023596,36.660727280706,2,0
54,56.7409634868761,58.9686833398165,10.8021902627805,73.9108392365983,2,0
55,40.3279031815653,64.6010159954327,5.82565841171929,63.0968226473542,2,0
56,46.5286596528356,60.2871331380218,5.75107817337481,70.4624099037986,1,0
57,31.4544798283195,72.4703309598419,7.53504493942306,34.6758114357136,2,0
58,35.5856705266548,49.7110887506191,10.7865651932563,41.7128133975506,2,0
